Time (UTCG),Power (W),Solar Intensity,Effective Area (m^2),Irradiance (W/m^2)
All,,,,
00:04:12.0,9.186,1,0.024232,1353.87681
00:04:13.0,9.181,1,0.024219,1353.866209
00:04:14.0,9.176,1,0.024206,1353.855597
00:04:15.0,9.169,1,0.024188,1353.829526
00:04:16.0,9.165,1,0.024178,1353.798613
00:04:17.0,9.162,1,0.024169,1353.85943
00:04:18.0,9.157,1,0.024156,1353.848792
00:04:19.0,9.151,1,0.024141,1353.802363
00:04:20.0,9.151,1,0.02414,1353.858445
00:04:21.0,9.146,1,0.024127,1353.847794
00:04:22.0,9.143,1,0.024119,1353.852624
00:04:23.0,9.139,1,0.024109,1353.821632
00:04:24.0,9.136,1,0.024099,1353.938812
00:04:25.0,9.13,1,0.024085,1353.836116
00:04:26.0,9.126,1,0.024075,1353.805073
00:04:27.0,9.123,1,0.024065,1353.922413
00:04:28.0,9.116,1,0.024048,1353.839939
00:04:29.0,9.11,1,0.024031,1353.905967
00:04:30.0,9.106,1,0.024021,1353.874883
00:04:31.0,9.102,1,0.02401,1353.900161
00:04:32.0,9.096,1,0.023993,1353.966335
00:04:33.0,9.089,1,0.023977,1353.82718
00:04:34.0,9.088,1,0.023973,1353.904094
00:04:35.0,9.084,1,0.023962,1353.929436
00:04:36.0,9.078,1,0.023947,1353.882681
00:04:37.0,9.077,1,0.023943,1353.959702
00:04:38.0,9.075,1,0.023938,1353.944118
00:04:39.0,9.068,1,0.023922,1353.804627
00:04:40.0,9.064,1,0.023911,1353.829977
00:04:41.0,9.061,1,0.023901,1353.948131
00:04:42.0,9.054,1,0.023884,1353.86511
00:04:43.0,9.048,1,0.023869,1353.818162
00:04:44.0,9.047,1,0.023865,1353.895424
00:04:45.0,9.039,1,0.023845,1353.832789
00:04:46.0,9.036,1,0.023835,1353.951272
00:04:47.0,9.031,1,0.023823,1353.883702
00:04:48.0,9.025,1,0.023806,1353.950385
00:04:49.0,9.019,1,0.023791,1353.903337
00:04:50.0,9.016,1,0.023783,1353.908254
00:04:51.0,9.011,1,0.02377,1353.89747
00:04:52.0,9.008,1,0.023763,1353.845414
00:04:53.0,9.005,1,0.023754,1353.907312
00:04:54.0,8.999,1,0.02374,1353.803105
00:04:55.0,8.995,1,0.023728,1353.885705
00:04:56.0,8.99,1,0.023715,1353.874883
00:04:57.0,8.985,1,0.023702,1353.86405
00:04:58.0,8.98,1,0.023689,1353.853205
00:04:59.0,8.976,1,0.023677,1353.936008
00:05:00.0,8.973,1,0.023669,1353.94096
00:05:01.0,8.967,1,0.023655,1353.836398
00:05:02.0,8.962,1,0.023641,1353.882782
00:05:03.0,8.958,1,0.02363,1353.90847
00:05:04.0,8.954,1,0.023619,1353.934181
00:05:05.0,8.95,1,0.023609,1353.902567
00:05:06.0,8.943,1,0.023592,1353.818486
00:05:07.0,8.94,1,0.023583,1353.880822
00:05:08.0,8.933,1,0.023566,1353.796632
00:05:09.0,8.928,1,0.023551,1353.900653
00:05:10.0,8.924,1,0.023541,1353.868934
00:05:11.0,8.918,1,0.023524,1353.936405
00:05:12.0,8.914,1,0.023515,1353.847088
00:05:13.0,8.908,1,0.023498,1353.914619
00:05:14.0,8.905,1,0.023491,1353.861965
00:05:15.0,8.901,1,0.023481,1353.830148
00:05:16.0,8.898,1,0.023472,1353.892784
00:05:17.0,8.893,1,0.02346,1353.824138
00:05:18.0,8.889,1,0.023448,1353.907735
00:05:19.0,8.882,1,0.02343,1353.880861
00:05:20.0,8.879,1,0.023422,1353.885846
00:05:21.0,8.869,1,0.023395,1353.921778
00:05:22.0,8.865,1,0.023384,1353.947754
00:05:23.0,8.859,1,0.02337,1353.841922
00:05:24.0,8.854,1,0.023355,1353.946845
00:05:25.0,8.847,1,0.023337,1353.919894
00:05:26.0,8.841,1,0.023321,1353.929934
00:05:27.0,8.835,1,0.023305,1353.939988
00:05:28.0,8.831,1,0.023295,1353.907951
00:05:29.0,8.828,1,0.023288,1353.854836
00:05:30.0,8.824,1,0.023277,1353.8809
00:05:31.0,8.82,1,0.023268,1353.790614
00:05:32.0,8.817,1,0.02326,1353.795603
00:05:33.0,8.814,1,0.023251,1353.85882
00:05:34.0,8.809,1,0.023237,1353.906024
00:05:35.0,8.803,1,0.023222,1353.857795
00:05:36.0,8.799,1,0.023212,1353.825607
00:05:37.0,8.794,1,0.023198,1353.872871
00:05:38.0,8.787,1,0.02318,1353.84568
00:05:39.0,8.781,1,0.023164,1353.855737
00:05:40.0,8.774,1,0.023146,1353.828492
00:05:41.0,8.771,1,0.023136,1353.950553
00:05:42.0,8.764,1,0.023119,1353.864787
00:05:43.0,8.759,1,0.023107,1353.795078
00:05:44.0,8.754,1,0.023092,1353.901166
00:05:45.0,8.752,1,0.023087,1353.884994
00:05:46.0,8.748,1,0.023075,1353.969974
00:05:47.0,8.741,1,0.023059,1353.82528
00:05:48.0,8.737,1,0.023048,1353.851589
00:05:49.0,8.73,1,0.02303,1353.824204
00:05:50.0,8.725,1,0.023016,1353.871841
00:05:51.0,8.721,1,0.023004,1353.957076
